"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"true","fullscreen","0","4511","0.0-0.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","","","","","","","","",""
"","instructions","1","141750","0.0-1.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","[{""page_index"":0,""viewing_time"":65469.700000047684},{""page_index"":1,""viewing_time"":14511.399999976158},{""page_index"":2,""viewing_time"":20384.399999976158},{""page_index"":3,""viewing_time"":9022},{""page_index"":4,""viewing_time"":3628},{""page_index"":5,""viewing_time"":19790},{""page_index"":6,""viewing_time"":3268.100000023842},{""page_index"":7,""viewing_time"":1162}]","137236.20000004768","","","","","","","",""
"","image-keyboard-response","2","143453","0.0-2.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","1701.7999999523163","img/animal1.png","74","1703.300000011921","1","1","2","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","3","143758","0.0-3.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","4","144172","0.0-4.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","412.60000002384186","img/animal1.png","75","414.10000002384186","2","1","2","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","5","144476","0.0-5.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","6","144780","0.0-6.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","302.60000002384186","img/animal1.png","76","304.19999998807907","3","0","2","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","7","145082","0.0-7.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","8","145676","0.0-8.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","592.5","img/animal3.png","75","593.8000000119209","2","0","1","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","9","145991","0.0-9.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","10","146260","0.0-10.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","266.89999997615814","img/animal1.png","74","268.4000000357628","1","1","2","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","11","146563","0.0-11.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","12","146932","0.0-12.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","368","img/animal5.png","75","369.30000001192093","2","1","3","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","13","147235","0.0-13.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","14","147741","0.0-14.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","504.19999998807907","img/animal1.png","76","505.5","3","0","2","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","15","148044","0.0-15.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","16","148412","0.0-16.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","366.39999997615814","img/animal3.png","75","367.10000002384186","2","0","1","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","17","148714","0.0-17.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","18","149020","0.0-18.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","304.0999999642372","img/animal5.png","74","305.5","1","0","3","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","19","149322","0.0-19.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","20","149652","0.0-20.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","328.89999997615814","img/animal5.png","75","329.69999998807907","2","1","3","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","21","149954","0.0-21.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","22","150268","0.0-22.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","312.39999997615814","img/animal3.png","76","313.69999998807907","3","1","1","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","23","150571","0.0-23.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","24","150908","0.0-24.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","335.4000000357628","img/animal1.png","75","336.60000002384186","2","1","2","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","25","151211","0.0-25.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","26","151748","0.0-26.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","535.1000000238419","img/animal5.png","74","536.5","1","0","3","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","27","152051","0.0-27.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","28","152364","0.0-28.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","312.2999999523163","img/animal1.png","75","312.9000000357628","2","0","2","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","29","152667","0.0-29.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","30","153020","0.0-30.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","352","img/animal3.png","76","353.19999998807907","3","1","1","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","31","153322","0.0-31.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","32","153700","0.0-32.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","376","img/animal3.png","75","377.39999997615814","2","0","1","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","33","154002","0.0-33.0","3KKG4CDWKJKA99NPHCADU6GHJUE94V","AEK2SAEL9GG39","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
